timestamp,service,failure,cpu_usage,memory_usage,latency_ms,error_rate,db_connections,cpu_change,memory_change,latency_change,error_change,db_connections_change,cpu_evidence,memory_evidence,latency_evidence,error_evidence,database_evidence,total_evidence
2026-01-06 15:45:00,payment-service,db_connection_saturation,57.61,63.9,250.0,1.0,65.0,-2.789999999999999,5.799999999999997,77.66999999999999,0.81,12.479999999999997,0,0,1,0,1,2
2026-01-06 15:50:00,payment-service,db_connection_saturation,54.8,61.92,353.33,1.47,67.33,-2.8100000000000023,-1.9799999999999969,103.32999999999998,0.47,2.3299999999999983,0,0,1,0,0,1
2026-01-06 15:55:00,payment-service,db_connection_saturation,57.07,56.47,456.67,1.93,69.67,2.270000000000003,-5.450000000000003,103.34000000000005,0.4599999999999999,2.3400000000000034,0,0,1,0,0,1
2026-01-06 16:00:00,payment-service,db_connection_saturation,55.64,62.92,560.0,2.4,72.0,-1.4299999999999995,6.450000000000003,103.32999999999998,0.47,2.3299999999999983,0,0,1,0,0,1
2026-01-06 16:05:00,payment-service,db_connection_saturation,56.02,57.59,663.33,2.87,74.33,0.3800000000000025,-5.329999999999998,103.33000000000004,0.4700000000000002,2.3299999999999983,0,0,1,0,0,1
2026-01-06 16:10:00,database,cpu_overload,78.33,61.59,455.56,2.83,83.33,1.6599999999999966,-4.509999999999991,44.44999999999999,0.31,1.6599999999999966,0,0,1,0,1,2
2026-01-06 16:10:00,payment-service,db_connection_saturation,58.31,54.96,766.67,3.33,76.67,2.289999999999999,-2.6300000000000026,103.33999999999992,0.4599999999999999,2.3400000000000034,0,0,1,0,0,1
2026-01-06 16:15:00,payment-service,db_connection_saturation,52.16,59.0,870.0,3.8,79.0,-6.150000000000006,4.039999999999999,103.33000000000004,0.4699999999999997,2.3299999999999983,0,0,1,0,0,1
2026-01-06 16:15:00,database,db_connection_saturation,80.0,63.96,500.0,3.15,85.0,1.6700000000000017,2.369999999999997,44.44,0.3199999999999998,1.6700000000000017,0,0,1,0,1,2
2026-01-06 16:20:00,payment-service,db_connection_saturation,55.34,62.37,973.33,4.27,81.33,3.180000000000007,3.369999999999997,103.33000000000004,0.4699999999999997,2.3299999999999983,0,0,1,0,1,2
2026-01-06 16:20:00,database,cpu_overload,81.67,60.4,544.44,3.47,86.67,1.6700000000000017,-3.5600000000000023,44.440000000000055,0.3200000000000003,1.6700000000000017,1,0,1,0,1,3
2026-01-06 16:25:00,payment-service,db_connection_saturation,56.38,55.59,1076.67,4.73,83.67,1.0399999999999991,-6.779999999999994,103.34000000000005,0.4600000000000008,2.3400000000000034,0,0,1,0,1,2
2026-01-06 16:25:00,database,db_connection_saturation,83.33,59.44,588.89,3.78,88.33,1.6599999999999966,-0.9600000000000009,44.44999999999993,0.3099999999999996,1.6599999999999966,1,0,1,0,1,3
2026-01-06 16:30:00,payment-service,db_connection_saturation,54.07,61.76,1180.0,5.2,86.0,-2.3100000000000023,6.169999999999995,103.32999999999991,0.4699999999999997,2.3299999999999983,0,0,1,1,1,3
2026-01-06 16:30:00,database,db_connection_saturation,85.0,64.32,633.33,4.1,90.0,1.6700000000000017,4.879999999999996,44.440000000000055,0.3199999999999998,1.6700000000000017,1,0,1,0,1,3
2026-01-06 16:35:00,database,db_connection_saturation,86.67,60.57,677.78,4.42,91.67,1.6700000000000017,-3.749999999999993,44.44999999999993,0.3200000000000003,1.6700000000000017,1,0,1,0,1,3
2026-01-06 16:35:00,payment-service,db_connection_saturation,56.34,53.48,1283.33,5.67,88.33,2.270000000000003,-8.280000000000001,103.32999999999991,0.4699999999999997,2.3299999999999983,0,0,1,1,1,3
2026-01-06 16:40:00,database,db_connection_saturation,88.33,61.78,722.22,4.73,93.33,1.6599999999999966,1.2100000000000009,44.440000000000055,0.3100000000000005,1.6599999999999966,1,0,1,0,1,3
2026-01-06 16:40:00,payment-service,db_connection_saturation,55.17,55.53,1386.67,6.13,90.67,-1.1700000000000017,2.0500000000000043,103.34000000000016,0.4599999999999999,2.3400000000000034,0,0,1,1,1,3
2026-01-06 16:45:00,payment-service,db_connection_saturation,54.12,65.25,1490.0,6.6,93.0,-1.0500000000000045,9.72,103.32999999999991,0.4699999999999997,2.3299999999999983,0,1,1,1,1,4
2026-01-06 16:50:00,payment-service,db_connection_saturation,57.16,62.05,1593.33,7.07,95.33,3.039999999999999,-3.200000000000003,103.32999999999991,0.4700000000000006,2.3299999999999983,0,0,1,1,1,3
2026-01-06 16:55:00,payment-service,db_connection_saturation,56.3,61.95,1696.67,7.53,97.67,-0.8599999999999994,-0.0999999999999943,103.34000000000016,0.4599999999999999,2.3400000000000034,0,0,1,1,1,3
2026-01-06 17:00:00,payment-service,db_connection_saturation,51.78,62.63,1800.0,8.0,100.0,-4.519999999999996,0.6799999999999997,103.32999999999991,0.4699999999999997,2.3299999999999983,0,0,1,1,1,3
2026-01-06 17:00:00,database,db_connection_saturation,95.0,58.02,900.0,6.0,100.0,1.6700000000000017,-7.729999999999997,44.440000000000055,0.3200000000000003,1.6700000000000017,1,0,1,1,1,4
2026-01-06 18:05:00,user-service,memory_leak,36.14,66.38,154.1,0.5,30.0,-10.130000000000004,1.3799999999999957,32.30999999999999,0.2,-6.509999999999998,0,0,0,0,0,0
2026-01-06 18:10:00,user-service,memory_leak,38.18,67.75,143.15,0.69,37.76,2.039999999999999,1.3700000000000043,-10.949999999999989,0.1899999999999999,7.759999999999998,0,0,0,0,0,0
2026-01-06 18:15:00,user-service,memory_leak,40.05,69.12,149.31,0.89,40.12,1.8699999999999972,1.3700000000000043,6.159999999999997,0.2,2.3599999999999994,0,0,0,0,0,0
2026-01-06 18:20:00,user-service,memory_leak,44.42,70.5,189.01,1.08,36.44,4.3700000000000045,1.3799999999999957,39.69999999999999,0.19,-3.68,0,0,0,0,0,0
2026-01-06 18:25:00,user-service,memory_leak,37.46,71.88,156.4,1.28,41.53,-6.960000000000001,1.3799999999999957,-32.609999999999985,0.1999999999999999,5.090000000000003,0,0,0,0,0,0
2026-01-06 18:30:00,user-service,memory_leak,40.45,73.25,165.08,1.48,35.19,2.990000000000002,1.3700000000000043,8.680000000000007,0.1999999999999999,-6.340000000000003,0,0,0,0,0,0
2026-01-06 18:35:00,user-service,memory_leak,47.08,74.62,160.04,1.67,36.48,6.629999999999996,1.3700000000000043,-5.0400000000000205,0.1899999999999999,1.2899999999999991,0,0,0,0,0,0
2026-01-06 18:40:00,user-service,memory_leak,38.33,76.0,169.58,1.87,41.13,-8.75,1.3799999999999957,9.54000000000002,0.2000000000000001,4.650000000000006,0,0,0,0,0,0
2026-01-06 18:45:00,user-service,memory_leak,39.26,77.38,186.73,2.06,38.02,0.9299999999999996,1.3799999999999957,17.149999999999977,0.1899999999999999,-3.1099999999999994,0,0,0,0,0,0
2026-01-06 18:50:00,user-service,memory_leak,47.92,78.75,192.35,2.26,40.51,8.660000000000004,1.3700000000000043,5.6200000000000045,0.1999999999999997,2.489999999999995,0,0,0,0,0,0
2026-01-06 18:55:00,user-service,memory_leak,38.84,80.12,186.18,2.45,40.44,-9.079999999999998,1.3700000000000043,-6.169999999999988,0.1900000000000004,-0.0700000000000002,0,1,0,0,0,1
2026-01-06 19:00:00,user-service,memory_leak,34.25,81.5,209.11,2.65,37.2,-4.590000000000003,1.3799999999999957,22.930000000000007,0.1999999999999997,-3.239999999999995,0,1,0,0,0,1
2026-01-06 19:05:00,user-service,memory_leak,34.17,82.88,237.25,2.85,34.48,-0.0799999999999983,1.3799999999999957,28.139999999999983,0.2000000000000001,-2.720000000000006,0,1,0,0,0,1
2026-01-06 19:10:00,user-service,memory_leak,29.0,84.25,232.32,3.04,38.26,-5.170000000000002,1.3700000000000043,-4.930000000000007,0.1899999999999999,3.780000000000001,0,1,0,0,0,1
2026-01-06 19:15:00,user-service,memory_leak,33.81,85.62,226.64,3.24,32.1,4.810000000000002,1.3700000000000043,-5.680000000000007,0.2000000000000001,-6.159999999999997,0,1,0,0,0,1
2026-01-06 19:20:00,user-service,memory_leak,28.24,87.0,241.47,3.43,36.24,-5.570000000000004,1.3799999999999957,14.830000000000013,0.1899999999999999,4.140000000000001,0,1,0,0,0,1
2026-01-06 19:25:00,user-service,memory_leak,38.09,88.38,227.38,3.63,30.22,9.850000000000003,1.3799999999999957,-14.090000000000003,0.1999999999999997,-6.020000000000003,0,1,0,0,0,1
2026-01-06 19:30:00,user-service,memory_leak,36.25,89.75,224.56,3.82,31.68,-1.8400000000000036,1.3700000000000043,-2.819999999999993,0.1899999999999999,1.4600000000000009,0,1,0,0,0,1
2026-01-06 19:35:00,user-service,memory_leak,38.12,91.12,261.72,4.02,31.97,1.8699999999999972,1.3700000000000043,37.160000000000025,0.1999999999999997,0.2899999999999991,0,1,0,0,0,1
